Date,Year Composite
2019,2916.386859848483
2018,2744.68
2017,2448.2174999999997
2016,2091.8441666666663
2015,2061.1991666666668
2014,1930.6675000000002
2013,1642.511666666667
2012,1379.5633333333335
2011,1268.89
2010,1139.3075
2009,946.7358333333332
2008,1220.888333333333
2007,1476.6333333333334
2006,1310.6699999999998
2005,1207.0608333333332
2004,1130.5475000000004
2003,963.6891666666667
2002,995.6300000000001
2001,1192.0783333333331
2000,1427.0075
1999,1326.0608333333332
1998,1084.3108333333334
1997,872.6733333333333
1996,670.8283333333333
1995,541.6383333333333
1994,460.32916666666665
1993,451.4066666666666
1992,415.7441666666667
1991,376.1775
1990,334.5874999999999
1989,322.8333333333333
1988,265.78333333333336
1987,286.8416666666667
1986,236.35833333333335
1985,186.85000000000002
1984,160.46666666666667
1983,160.42499999999998
1982,119.72500000000001
1981,128.04166666666669
1980,118.78333333333335
1979,103.02250000000002
1978,96.01999999999998
1977,98.20999999999998
1976,102.02166666666665
1975,86.15583333333332
1974,82.5525
1973,107.42333333333333
1972,109.20833333333333
1971,98.28333333333335
1970,83.21999999999998
1969,97.83999999999999
1968,98.69416666666666
1967,91.92833333333334
1966,85.25666666666666
1965,88.17
1964,81.36833333333333
1963,69.865
1962,62.38249999999999
1961,66.27250000000001
1960,55.849999999999994
1959,57.379166666666656
1958,46.23833333333334
1957,44.38
1956,46.623333333333335
1955,40.49333333333333
1954,29.68916666666666
1953,24.73166666666667
1952,24.4975
1951,22.334999999999997
1950,18.400000000000002
1949,15.229999999999999
1948,15.532500000000004
1947,15.165833333333337
1946,17.080833333333334
1945,15.155833333333334
1944,12.468333333333332
1943,11.504166666666668
1942,8.673333333333334
1941,9.824166666666668
1940,11.020833333333334
1939,12.061666666666666
1938,11.488333333333335
1937,15.405833333333335
1936,15.468333333333334
1935,10.599166666666667
1934,9.844166666666666
1933,8.958333333333334
1932,6.928333333333334
1931,13.659166666666666
1930,21.026666666666667
1929,26.018333333333334
1928,19.953333333333333
1927,15.343333333333334
1926,12.586666666666668
1925,11.15
1924,9.045833333333333
1923,8.573333333333332
1922,8.410833333333333
1921,6.857499999999999
1920,7.977499999999999
1919,8.782499999999999
1918,7.539166666666666
1917,8.495
1916,9.466666666666667
1915,8.305000000000001
1914,7.945000000000001
1913,8.5075
1912,9.535000000000002
1911,9.235000000000001
1910,9.351666666666668
1909,9.712499999999999
1908,7.775833333333332
1907,7.84
1906,9.621666666666668
1905,8.985833333333332
1904,7.049166666666667
1903,7.211666666666666
1902,8.416666666666666
1901,7.842500000000001
1900,6.1475
1899,6.288333333333333
1898,5.0525
1897,4.450833333333334
1896,4.233333333333334
1895,4.5249999999999995
1894,4.386666666666667
1893,4.775
1892,5.550000000000001
1891,5.028333333333333
1890,5.269166666666667
1889,5.323333333333333
1888,5.204166666666667
1887,5.534166666666667
1886,5.364166666666666
1885,4.596666666666667
1884,4.740833333333334
1883,5.634166666666666
1882,5.900000000000001
1881,6.254166666666666
1880,5.2091666666666665
1879,4.1225
1878,3.3833333333333333
1877,3.135833333333333
1876,4.060833333333333
1875,4.4475
1874,4.569999999999999
1873,4.801666666666666
1872,5.029166666666667
1871,4.691666666666666
